Titulo,Compañia,Experiencia,Salario,Ubicacion,Fecha,Requisitos
Científico de datos,FutuRS,3,Sin informacion,Sin informacion,26-12-2022,"['Phyton', 'R', 'Matlab', 'PowerBI']"
Analista datos / Business Intelligence,Page Personnel,3,30.000 €,Madrid,26-12-2022,"['excel', 'SQL', 'PowerBI', 'Azure']"
Data Engineer,Page Personnel,3,30.000 €,Madrid,26-12-2022,"['data', 'Python', 'SQL']"
Data Engineer BI developer,Grupo Digital,2,Sin informacion,Madrid,23-12-2022,"['BI', 'ETL', 'Qlik', 'Tableau']"
Data team lead,HAYS,5,Sin informacion,Barcelona,23-12-2022,"['Python', 'R', 'SQL']"
Desarrollador/a Java Senior,HAYS,3,Sin informacion,Vizcaya,23-12-2022,['java']
Ingeniero Big Data con Scala/Spark (H/M),GI Group,2,33.000 €,Madrid,23-12-2022,"['Scala', 'Spark', 'SQL', 'HDFS']"
Ingeniero de datos junior,Olocip,Sin informacion,Sin informacion,Madrid,23-12-2022,"['Python', 'Pandas', 'Spark', 'PySpark']"
Consultor Junior Oracle OCI,arelance,3,27.000 €,Madrid,23-12-2022,['oracle']
Data Engineer/ Power BI Developer,OXIGENT Technologies,3,36.000 €,Barcelona,23-12-2022,"['data', 'bi', 'java', 'scala']"
Backend Developer,Page Personnel,3,45.000 €,Barcelona,23-12-2022,"['java', 'API']"
Java Developer 100% Remoto,Michael Page,3,Sin informacion,Madrid,23-12-2022,"['java', 'Spring']"
Lead Data Scientist,HAYS,5,Sin informacion,Barcelona,23-12-2022,"['data', 'Machine Learning']"
Data Engineer Senior,HAYS,5,Sin informacion,Madrid,23-12-2022,"['data', 'SQL', 'Python']"
Desarrollador Java,Michael Page,2,21.000 €,Madrid,23-12-2022,"['Java', 'Spring']"
Big Data Architect (100% remote),Michael Page,1,54.000 €,Sin informacion,22-12-2022,"['Spark', 'Kafka', 'HBase', 'Nifi']"
SQL Software Developer,Kenmei Technologies,5,Sin informacion,Sin informacion,19-12-2022,"['Python', 'SQL', 'Git', 'Scala']"
Data Science Machine Learning,Page Personnel,2,33.000 €,Madrid,19-12-2022,"['PYTHON', 'Machine Learning']"
Ingeniero de Datos Azure,Page Personnel,3,33.000 €,Madrid,19-12-2022,"['Azure', 'PYTHON', 'SCALA']"
Software Architect,NTT Data,2,Sin informacion,Barcelona,16-12-2022,"['JavaEE', 'Spring', 'Hibernate', 'HTML']"
Data Analyst BI,Page Personnel,2,30.000 €,Madrid,15-12-2022,"['SQL', 'POWER BI']"
Data Engineer,Page Personnel,2,33.000 €,Madrid,09-12-2022,"['Scala', 'Spark', 'HDFS', 'SQL']"
Data Engineer,HAYS,5,Sin informacion,Barcelona,09-12-2022,"['data', 'ETL', 'SQL']"
Data Scientist,GMV,3,Sin informacion,Madrid,09-12-2022,"['Python ', 'SQL', 'Oracle', 'PostgreSQL']"
Business Intelligence / Data Analyst,Page Personnel,1,27.000 €,Madrid,09-12-2022,"['Business Intelligence', 'Data Analyst', 'SQL']"
Técnico de Mantenimiento,GMV,2,Sin informacion,Madrid,09-12-2022,"['Informatica', 'electronica']"
Head of Marketing / CMO,Michael Page,5,Sin informacion,Sin informacion,09-12-2022,"['Marketing', 'Blockchain', 'SEO']"
BI Consultant,HAYS,5,Sin informacion,Valencia,09-12-2022,"['BI', 'SQL Server']"
Python Developer - 100% Remote - SaaS,Page Personnel,1,39.000 €,Sin informacion,09-12-2022,"['python', 'SQL', 'NoSQL', 'REST']"
Gerente de compras hardware/software,GMV,3,Sin informacion,Madrid,09-12-2022,"['COTS', 'Office']"
SysAdmin para Cloud Privado,GMV,3,Sin informacion,Madrid,09-12-2022,"['Kubernetes', 'VMwware']"
Junior Big Data / Data Analyst (I&D),Capgemini,Sin informacion,Sin informacion,Madrid,02-12-2022,"['Java', 'Scala', 'Spark', 'PowerBI']"
Arquitecto/a software .Net,GMV,2,Sin informacion,Madrid,02-12-2022,['Net']
Data Engineer,Page Personnel,2,Sin informacion,Málaga,25-11-2022,"['SQL', 'No SQL', 'Python']"
Data Scientist 100% Remoto,Page Personnel,3,Sin informacion,Málaga,25-11-2022,"['Python', 'R']"
Technical Lead Big Data,Page Personnel,3,72.000 €,Málaga,25-11-2022,"['Spark', 'Hadoop', 'Scala']"
Data Engineer,HAYS,5,Sin informacion,Barcelona,25-11-2022,"['data', 'AWS', 'ETL']"
Senior Data Engineer,Page Personnel,3,Sin informacion,Málaga,25-11-2022,"['Spark', 'Hadoop', 'Scala', 'Elasticsearch']"
AZURE Cloud Data Engineer,Michael Page,3,Sin informacion,Madrid,18-11-2022,"['Azure', 'ETL']"
Ingeniero/a de despliegue,GMV,2,Sin informacion,Valladolid,18-11-2022,"['SQL', 'IIS', 'Python', 'Linux']"
Cloud & Security Engineer,GMV,2,Sin informacion,Madrid,18-11-2022,"['AWS', 'Azure']"
Ingeniero/a de pruebas de aviónica,GMV,3,Sin informacion,Madrid,26-10-2022,"['Telecomunicaciones', 'Python', 'Matlab']"
Senior Java engineer (100% Remote),Page Personnel,5,45.000 €,Sin informacion,24-10-2022,['Java']
Ingeniero de Datos,HAYS,2,Sin informacion,Málaga,11-10-2022,['Power BI']
Software business analyst,HAYS,5,Sin informacion,Madrid,11-10-2022,"['SCRUM', 'Azure DevOps']"
Business Analyst,Page Personnel,3,36.000 €,Barcelona,05-10-2022,"['UML', 'BPML']"
Data Scientist,HAYS,3,Sin informacion,Valencia,30-09-2022,"['data scientist', 'datos', 'cloud', 'NoSQL']"
Analista senior ciberseguridad (CERT),GMV,3,Sin informacion,Madrid,29-09-2022,"['ciberseguridad', 'SIEM', 'FW', 'WAF']"
Data Engineer,HAYS,5,Sin informacion,Madrid,27-09-2022,"['ETL', 'Azure', 'SQL']"
Data Scientist,HAYS,5,Sin informacion,Madrid,27-09-2022,"['SQL', 'Python', 'Java', 'R']"
Data Engineer (Final Company),Michael Page,2,Sin informacion,Madrid,26-09-2022,"['Azure', 'Google Cloud Platform']"
Head of Data Management - Fintech,Michael Page,1,72.000 €,Madrid,26-09-2022,"['Barra', 'RiskMetrics', 'Bloomberg']"
Data Scientist junior,Page Personnel,2,24.000 €,Madrid,22-09-2022,"['R', 'Python']"
Data Architect,HAYS,5,Sin informacion,Madrid,22-09-2022,"['Kafka', 'IBM MQ', 'Oracle SOA']"
Senior Data Scientist,HAYS,3,Sin informacion,Madrid,08-09-2022,"['Python', 'R', 'SQL']"
Data Architect,HAYS,3,Sin informacion,Madrid,01-09-2022,"['ETL', 'NoSQL']"
Data Scientist,HAYS,2,Sin informacion,Madrid,09-08-2022,"['Machine learning', 'Pandas', 'Python', 'Spark']"
Big Data Developer,Apolo IT Group,1,Sin informacion,Madrid,26-07-2022,"['java', 'unix', 'oracle']"
Data Analyst,HAYS,1,Sin informacion,Madrid,13-07-2022,"['Azure', 'SQL Server', 'PostgreSQL']"
Software Engineer Python - Remote Work,HAYS,5,Sin informacion,Sin informacion,06-07-2022,"['Python', 'R', 'SQL']"
Ingeniero/a de calidad,GMV,2,Sin informacion,Madrid,28-06-2022,"['CMMI', 'SPICE', 'ISO']"
IOS Software Engineer,HAYS,3,Sin informacion,Madrid,26-05-2022,"['iOS', 'Objective C', 'Swift']"
BI Specialist (cliente final),HAYS,5,Sin informacion,Valencia,22-03-2022,"['Power BI', 'Oracle', 'Data']"
AWS Solution Architect - IT EDS,HAYS,2,Sin informacion,Barcelona,16-03-2022,['AWS']
Data Manager,HAYS,1,Sin informacion,Barcelona,23-02-2022,"['EDC', 'CTMS', 'SAS', 'SPSS']"
Data Engineer,HAYS,3,Sin informacion,Barcelona,15-02-2022,"['Spark', 'Pyspark', 'Eventhubs', 'Data Factory']"
Data Engineer Docker,HAYS,3,Sin informacion,Madrid,03-02-2022,"['Docker', 'Python', 'Spark']"
R/Python Developer,HAYS,2,Sin informacion,Madrid,31-01-2022,"['R', 'Python']"
Data Engineer Microsoft,HAYS,5,Sin informacion,Madrid,29-12-2021,"['Python', 'Pyspark', 'Azure']"
DevOps Engineer IoT OT Cloud Service,HAYS,1,Sin informacion,Madrid,28-12-2021,"['NET', 'python', 'LUA', 'Azure']"
Data Scientist,HAYS,5,30.000 €,Valencia,22-12-2021,"['R', 'Scala', 'Java', 'C++']"
Data Science Consultant,HAYS,3,Sin informacion,Madrid,24-11-2021,"['python', 'R', 'SQL', 'Spark']"
Data Scientist (cliente final),HAYS,3,Sin informacion,Sin informacion,06-10-2021,"['python', 'spark', 'r', 'machine']"
Programador junior,NTT Data,Sin informacion,16.000 €,Barcelona,13-04-2021,"['Java', 'J2ee', 'android', 'angular']"
Spark Engineer,Stratio,3,Sin informacion,Madrid,03-10-2017,"['Spark', 'Hadoop', 'Cassandra', 'Mongo DB']"
Arquitecto Big Data,Stratio,3,Sin informacion,Madrid,20-09-2017,"['Scala', 'Spark', 'Hadoop', 'MapReduce']"
Technical lead (remoto posible),Capgemini,3,Sin informacion,Sin informacion,06-01-2023,"['Java', 'Agile', 'Bases de datos', 'Gestion Desarrollo de software']"
Technical lead (remoto posible),Capgemini,3,Sin informacion,Murcia,05-01-2023,"['Java', 'Agile', 'Bases de datos', 'Gestion Desarrollo de software']"
Desarrollador Senior,Echeide.com,5,24.000 €,Sin informacion,29-12-2022,"['Javascript', 'angularjs', 'desarrollo web', 'Svelve']"
Senior Developer Ruby on Rails,HAYS,5,Sin informacion,Sin informacion,23-02-2022,"['Ruby on Rails', 'Ruby', 'TDD', 'OOP']"
Ingeniero/a desarrollador iOS,GMV,1,Sin informacion,Valladolid,07-01-2023,"['iOS', 'Kotlin']"
Perfiles Fullstack Architect,CMV Consultores,5,Sin informacion,Sin informacion,07-01-2023,"['AWS', 'Azure', 'Node', 'React']"
Desarrollador Web Microsof SQL / Liferay,Krell Consulting & Training,2,27.000 €,Vizcaya,07-01-2023,"['SQL Server', 'Liferay', 'Portlets', 'themes']"
Java Software Developer,Capgemini,3,Sin informacion,Valencia,07-01-2023,"['java', 'springboot', 'hibernate']"
Desarrollador Cobol Junior,Grupo Digital,1,Sin informacion,Madrid,07-01-2023,['Cobol']
"Programador/a JAVA, C#, VB.NET","ESICA, Seleccions de Personal",3,Sin informacion,Barcelona,07-01-2023,"['JAVA', 'C#', 'VB.NET', 'Visual Studio']"
Programador/a Junior Angular,Digital Talent Agency,Sin informacion,Sin informacion,Asturias,06-01-2023,"['angular', 'Javascript']"
Programadores/as y APs JAVA,Digital Talent Agency,1,Sin informacion,Sin informacion,06-01-2023,"['Java', 'AMTEGA', 'ARCHAM']"
Desarrollador/a Senior Java ¡Remoto!,Digital Talent Agency,5,Sin informacion,Sin informacion,06-01-2023,['java']
GNSS Applications & Receivers engineer,GMV,1,Sin informacion,Madrid,06-01-2023,"['C', 'C++', 'Python']"
